English,Spanish
center,centro
regular,regular
George,Jorge
the,el
divided,dividido
eight,ocho
James,Jaime
summer,verano
direction,dirección
numerous,numeroso
income,ingreso
individuals,individuos
plan,plan
announced,Anunciado
failed,fallido
applied,aplicado
values,valores
northern,del Norte
ships,buques
resulting,resultante
estimated,estimado
appears,aparecer
continue,continuar
red,rojo
married,casado
object,objeto
studies,estudios
media,medios de comunicación
engine,motor
passed,aprobado
Australia,Australia
machine,máquina
quality,calidad
hold,sostener
say,decir
parties,fiestas
letter,carta
Japan,Japón
expected,esperado
treatment,tratamiento
signal,señal
blood,sangre
financial,financiero
video,video
carried,transportado
compared,comparado
know,saber
wanted,buscado
accepted,aceptado
via,a través de
read,leer
each,cada
other,otro
types,tipos
of,de
animals,animales
turned,transformado
unit,unidad
feature,característica
southern,del Sur
increasing,creciente
met,reunió
prevent,prevenir
songs,canciones
applications,aplicaciones
require,requerir
opened,abrió
marriage,casamiento
contain,contener
equipment,equipo
section,sección
remaining,restante
properties,propiedades
asked,preguntó
the,el
case,caso
ten,diez
Charles,Charles
activity,actividad
whom,a quien
ways,maneras
buildings,edificios
basic,básico
probably,probablemente
running,correr
materials,materiales
stories,cuentos
edition,edición
location,ubicación
noted,anotado
cell,celúla
analysis,análisis
Russia,Rusia
removed,remoto
becomes,se convierte en
paper,papel
billion,mil millones
fall,caer
child,niño
cut,cortar
degree,grado
ship,barco
occurs,ocurre
less,menos
than,que
novel,novedoso
except,excepto
inside,adentro
Robert,Robert
troops,tropas
Jewish,judío
report,informe
call,llamar
flow,fluir
metal,metal
appointed,fijado
offered,Ofrecido
told,dijo
frequency,frecuencia
initial,inicial
campaign,campaña
definition,definición
historical,histórico
allowing,permitido
operation,operación
police,policía
poor,pobre
weight,peso
have,tener
primarily,ante todo
agreed,acordado
hit,golpear
west,Oeste
heat,calor
security,seguridad
David,David
claimed,reclamado
positive,positivo
easily,fácilmente
environment,ambiente
going,yendo
regions,regiones
ISBN,ISBN
ball,pelota
tradition,tradición
reach,alcanzar
requires,requerimiento
St.,Calle.
extended,extendido
charge,cargar
female,femenino
face,rostro
serve,atender
equal,igual
letters,letras
refused,rechazado
immediately,inmediatamente
supply,suministrar
leave,dejar
mainly,principalmente
negative,negativo
soldiers,soldados
question,pregunta
suggested,sugirió
Paul,Pablo
